time1,cm,cd,cl
543.0,0.002479755,1.071263,0.09514283
544.0,0.00256306,1.074523,0.06780717
545.0,0.002470483,1.076379,0.03465915
546.0,0.002202295,1.077716,-0.001109099
547.0,0.001771401,1.076813,-0.03654314
548.0,0.001206414,1.073822,-0.06891549
549.0,0.0005503614,1.069112,-0.09597257
550.0,-0.0001435971,1.064903,-0.1162609
551.0,-0.0008211114,1.062584,-0.1283754
552.0,-0.001431988,1.062403,-0.1314568
553.0,-0.001936133,1.06505,-0.1257948
554.0,-0.002303631,1.068403,-0.1115683
555.0,-0.002516199,1.072002,-0.08946819
556.0,-0.002559098,1.074998,-0.06053476
557.0,-0.002425091,1.076811,-0.02649524
558.0,-0.002117457,1.077921,0.009431545
559.0,-0.001652219,1.076456,0.04442974
560.0,-0.001061885,1.072776,0.07574456
561.0,-0.000392254,1.06787,0.101334
562.0,0.0003032093,1.064185,0.1199045
563.0,0.0009702514,1.062397,0.1300057
564.0,0.001559851,1.06288,0.1309632
565.0,0.002034708,1.065926,0.1232927
566.0,0.002367781,1.069278,0.1071363
567.0,0.002542437,1.072835,0.08345667
568.0,0.00254518,1.075349,0.05308984
569.0,0.002370527,1.077167,0.01829332
570.0,0.002024383,1.077751,-0.01768452
571.0,0.001526417,1.075907,-0.05212951
572.0,0.0009129424,1.071768,-0.08226101
573.0,0.0002322892,1.066817,-0.1063049
574.0,-0.0004615675,1.063513,-0.1230209
575.0,-0.001114292,1.062171,-0.1310035
576.0,-0.001680139,1.063349,-0.1299548
577.0,-0.002124176,1.066702,-0.1202868
578.0,-0.00242216,1.070078,-0.1023188
579.0,-0.002558436,1.073706,-0.07705348
580.0,-0.002520509,1.075867,-0.04531542
581.0,-0.002305253,1.077448,-0.00998024
582.0,-0.001921884,1.077265,0.02583304
583.0,-0.001393645,1.075081,0.05949987
584.0,-0.0007600782,1.070733,0.08837304
585.0,-7.136245e-05,1.066028,0.110858
586.0,0.0006171609,1.062991,0.1256264
587.0,0.001253324,1.062102,0.1315286
588.0,0.001794071,1.063973,0.1285134
589.0,0.002206432,1.067452,0.1168735
590.0,0.002468449,1.071024,0.09705287
591.0,0.002565093,1.074461,0.07021875
592.0,0.002486258,1.07636,0.03740357
593.0,0.002231279,1.077709,0.001699397
594.0,0.001812,1.076929,-0.03387392
595.0,0.00125569,1.074172,-0.06661208
596.0,0.0006045474,1.06956,-0.09413495
597.0,-8.87224e-05,1.065218,-0.1149834
598.0,-0.000769543,1.062687,-0.1278001
599.0,-0.001387478,1.062303,-0.1316092
600.0,-0.00190142,1.064795,-0.126607
601.0,-0.002280474,1.068243,-0.1129847
602.0,-0.002505644,1.071804,-0.09144882
603.0,-0.002562257,1.074845,-0.06305858
604.0,-0.002442343,1.076657,-0.02931307
